chapter,KJV,BBE
Acts7,"Then said the high priest, Are these things so? And he said, Men, brethren, and fathers, hearken; The God of glory appeared unto our father Abraham, when he was in Mesopotamia, before he dwelt in Charran, And said unto him, Get thee out of thy country, and from thy kindred, and come into the land which I shall shew thee.","Then the high priest said, Are these things true? And he said, My brothers and fathers, give hearing."
Judges10,"And after Abimelech there arose to defend Israel Tola the son of Puah, the son of Dodo, a man of Issachar; and he dwelt in Shamir in mount Ephraim. And he judged Israel twenty and three years, and died, and was buried in Shamir.","Now after Abimelech, Tola, the son of Puah, the son of Dodo, a man of Issachar, became the saviour of Israel; he was living in Shamir in the hill-country of Ephraim. He was judge over Israel for twenty-three years; and at his death his body was put to rest in the earth in Shamir."
Ezra5,"Then the prophets, Haggai the prophet, and Zechariah the son of Iddo, prophesied unto the Jews that were in Judah and Jerusalem in the name of the God of Israel, even unto them. Then rose up Zerubbabel the son of Shealtiel, and Jeshua the son of Jozadak, and began to build the house of God which is at Jerusalem: and with them were the prophets of God helping them.","Now the prophets Haggai and Zechariah, the son of Iddo, were preaching to the Jews in Judah and Jerusalem in the name of the God of Israel. Then Zerubbabel, the son of Shealtiel, and Jeshua, the son of Jozadak, got up and made a start at building the house of God at Jerusalem: and the prophets of God were with them, helping them."
Matthew20,"For the kingdom of heaven is like unto a man that is an householder, which went out early in the morning to hire labourers into his vineyard. And when he had agreed with the labourers for a penny a day, he sent them into his vineyard.","For the kingdom of heaven is like the master of a house, who went out early in the morning to get workers into his vine-garden. And when he had made an agreement with the workmen for a penny a day, he sent them into his vine-garden."
Phillipians4,"Therefore, my brethren dearly beloved and longed for, my joy and crown, so stand fast in the Lord, my dearly beloved. I beseech Euodias, and beseech Syntyche, that they be of the same mind in the Lord.","So my brothers, well loved and very dear to me, my joy and crown, be strong in the Lord, my loved ones. I make request to Euodias and Syntyche to be of the same mind in the Lord."
1Chronicles4,"The sons of Judah; Pharez, Hezron, and Carmi, and Hur, and Shobal. And Reaiah the son of Shobal begat Jahath; and Jahath begat Ahumai, and Lahad.","The sons of Judah: Perez, Hezron and Carmi and Hur and Shobal. And Reaiah, the son of Shobal, was the father of Jahath; and Jahath was the father of Ahumai and Lahad."
2Kings4,"Now there cried a certain woman of the wives of the sons of the prophets unto Elisha, saying, Thy servant my husband is dead; and thou knowest that thy servant did fear the Lord: and the creditor is come to take unto him my two sons to be bondmen. And Elisha said unto her, What shall I do for thee?","Now a certain woman, the wife of one of the sons of the prophets, came crying to Elisha and said, Your servant my husband is dead; and to your knowledge he was a worshipper of the Lord; but now, the creditor has come to take my two children as servants in payment of his debt. Then Elisha said to her, What am I to do for you?"
2Samuel11,"And it came to pass, after the year was expired, at the time when kings go forth to battle, that David sent Joab, and his servants with him, and all Israel; and they destroyed the children of Ammon, and besieged Rabbah. But David tarried still at Jerusalem.","Now in the spring, at the time when kings go out to war, David sent Joab and his servants and all Israel with him; and they made waste the land of the children of Ammon, and took up their position before Rabbah, shutting it in. But David was still at Jerusalem."
Matthew6,"Take heed that ye do not your alms before men, to be seen of them: otherwise ye have no reward of your Father which is in heaven. Therefore when thou doest thine alms, do not sound a trumpet before thee, as the hypocrites do in the synagogues and in the streets, that they may have glory of men.","Take care not to do your good works before men, to be seen by them; or you will have no reward from your Father in heaven. When then you give money to the poor, do not make a noise about it, as the false-hearted men do in the Synagogues and in the streets, so that they may have glory from men."
Exodus29,"And this is the thing that thou shalt do unto them to hallow them, to minister unto me in the priest's office: Take one young bullock, and two rams without blemish, And unleavened bread, and cakes unleavened tempered with oil, and wafers unleavened anointed with oil: of wheaten flour shalt thou make them. And thou shalt put them into one basket, and bring them in the basket, with the bullock and the two rams.","This is what you are to do to make them holy, to do the work of priests to me: Take one young ox and two male sheep, without any mark on them, And unleavened bread, and unleavened cakes mixed with oil, and thin unleavened cakes on which oil has been put, made of the best bread-meal; Put these in a basket and take them, with the ox and the two sheep. And let Aaron and his sons come to the door of the Tent of meeting, and there let them be washed with water."
Daniel8,"In the third year of the reign of king Belshazzar a vision appeared unto me, even unto me Daniel, after that which appeared unto me at the first. And I saw in a vision; and it came to pass, when I saw, that I was at Shushan in the palace, which is in the province of Elam; and I saw in a vision, and I was by the river of Ulai.","In the third year of the rule of Belshazzar the king, a vision was seen by me, Daniel, after the one I saw at first. And I saw in the vision; and when I saw it, I was in the strong town Shushan, which is in the country of Elam; and in the vision I was by the water-door of the Ulai."
2Chronicles25,"Amaziah was twenty and five years old when he began to reign, and he reigned twenty and nine years in Jerusalem. And his mother's name was Jehoaddan of Jerusalem.","Amaziah was twenty-five years old when he became king, and he was ruling in Jerusalem for twenty-nine years; his mother's name was Jehoaddan of Jerusalem. He did what was right in the eyes of the Lord, but his heart was not completely true to the Lord."
Exodus4,"And Moses answered and said, But, behold, they will not believe me, nor hearken unto my voice: for they will say, The Lord hath not appeared unto thee. And the Lord said unto him, What is that in thine hand?","And Moses, answering, said, It is certain that they will not have faith in me or give ear to my voice; for they will say, You have not seen the Lord. And the Lord said to him, What is that in your hand?"
John7,"After these things Jesus walked in Galilee: for he would not walk in Jewry, because the Jews sought to kill him. Now the Jew's feast of tabernacles was at hand.","After this, Jesus went from place to place in Galilee. He did not go about in Judaea, because the Jews were looking for a chance to put him to death."
SongofSolomon6,"Whither is thy beloved gone, O thou fairest among women? whither is thy beloved turned aside?","Where is your loved one gone, O most fair among women? Where is your loved one turned away, that we may go looking for him with you?"
Isaiah54,"Sing, O barren, thou that didst not bear; break forth into singing, and cry aloud, thou that didst not travail with child: for more are the children of the desolate than the children of the married wife, saith the Lord. Enlarge the place of thy tent, and let them stretch forth the curtains of thine habitations: spare not, lengthen thy cords, and strengthen thy stakes; For thou shalt break forth on the right hand and on the left; and thy seed shall inherit the Gentiles, and make the desolate cities to be inhabited.","Let your voice be loud in song, O woman without children; make melody and sounds of joy, you who did not give birth: for the children of her who had no husband are more than those of the married wife, says the Lord. Make wide the place of your tent, and let the curtains of your house be stretched out without limit: make your cords long, and your tent-pins strong."
Leviticus25,"And the Lord spake unto Moses in mount Sinai, saying, Speak unto the children of Israel, and say unto them, When ye come into the land which I give you, then shall the land keep a sabbath unto the Lord. Six years thou shalt sow thy field, and six years thou shalt prune thy vineyard, and gather in the fruit thereof; But in the seventh year shall be a sabbath of rest unto the land, a sabbath for the Lord: thou shalt neither sow thy field, nor prune thy vineyard.","And the Lord said to Moses on Mount Sinai, Say to the children of Israel, When you come into the land which I will give you, let the land keep a Sabbath to the Lord. For six years put seed into your land, and for six years give care to your vines and get in the produce of them; But let the seventh year be a Sabbath of rest for the land, a Sabbath to the Lord; do not put seed into your land or have your vines cut."
Job12,"And Job answered and said, No doubt but ye are the people, and wisdom shall die with you. But I have understanding as well as you; I am not inferior to you: yea, who knoweth not such things as these?","And Job made answer and said, No doubt you have knowledge, and wisdom will come to an end with you. But I have a mind as well as you; I am equal to you: yes, who has not knowledge of such things as these?"
Ecclesiastes3,"To every thing there is a season, and a time to every purpose under the heaven: A time to be born, and a time to die; a time to plant, and a time to pluck up that which is planted; A time to kill, and a time to heal; a time to break down, and a time to build up; A time to weep, and a time to laugh; a time to mourn, and a time to dance; A time to cast away stones, and a time to gather stones together; a time to embrace, and a time to refrain from embracing; A time to get, and a time to lose; a time to keep, and a time to cast away; A time to rend, and a time to sew; a time to keep silence, and a time to speak; A time to love, and a time to hate; a time of war, and a time of peace. What profit hath he that worketh in that wherein he laboureth?","For everything there is a fixed time, and a time for every business under the sun. A time for birth and a time for death; a time for planting and a time for uprooting; A time to put to death and a time to make well; a time for pulling down and a time for building up; A time for weeping and a time for laughing; a time for sorrow and a time for dancing; A time to take stones away and a time to get stones together; a time for kissing and a time to keep from kissing; A time for search and a time for loss; a time to keep and a time to give away; A time for undoing and a time for stitching; a time for keeping quiet and a time for talk; A time for love and a time for hate; a time for war and a time for peace."
Proverbs22,"A good name is rather to be chosen than great riches, and loving favour rather than silver and gold. The rich and poor meet together: the Lord is the maker of them all.","A good name is more to be desired than great wealth, and to be respected is better than silver and gold. The man of wealth and the poor man come face to face: the Lord is the maker of them all."
Judges4,"And the children of Israel again did evil in the sight of the Lord, when Ehud was dead. And the Lord sold them into the hand of Jabin king of Canaan, that reigned in Hazor; the captain of whose host was Sisera, which dwelt in Harosheth of the Gentiles.","And the children of Israel again did evil in the eyes of the Lord when Ehud was dead. And the Lord gave them up into the hands of Jabin, king of Canaan, who was ruling in Hazor; the captain of his army was Sisera, who was living in Harosheth of the Gentiles."
Numbers21,"And when king Arad the Canaanite, which dwelt in the south, heard tell that Israel came by the way of the spies; then he fought against Israel, and took some of them prisoners. And Israel vowed a vow unto the Lord, and said, If thou wilt indeed deliver this people into my hand, then I will utterly destroy their cities.","And it came to the ears of the Canaanite, the king of Arad, living in the South, that Israel was coming by the way of Atharim, and he came out against them and took some of them prisoners. Then Israel made an oath to the Lord, and said, If you will give up this people into my hands, then I will send complete destruction on all their towns."
Luke14,"And it came to pass, as he went into the house of one of the chief Pharisees to eat bread on the sabbath day, that they watched him. And, behold, there was a certain man before him which had the dropsy.","And it came about that when he went into the house of one of the chief Pharisees on the Sabbath, to have a meal, they were watching him. And a certain man was there who had a disease."
Job25,"Then answered Bildad the Shuhite, and said, Dominion and fear are with him, he maketh peace in his high places. Is there any number of his armies?","Then Bildad the Shuhite made answer and said, Rule and power are his; he makes peace in his high places. Is it possible for his armies to be numbered?"
Mark2,"And again he entered into Capernaum after some days; and it was noised that he was in the house. And straightway many were gathered together, insomuch that there was no room to receive them, no, not so much as about the door: and he preached the word unto them.","And when he came into Capernaum again after some days, the news went about that he was in the house. And a great number had come together, so that there was no longer room for them, no, not even about the door: and he gave them teaching."
Deuteronomy32,"Give ear, O ye heavens, and I will speak; and hear, O earth, the words of my mouth. My doctrine shall drop as the rain, my speech shall distil as the dew, as the small rain upon the tender herb, and as the showers upon the grass: Because I will publish the name of the Lord: ascribe ye greatness unto our God.","Give ear, O heavens, to my voice; let the earth take note of the words of my mouth: My teaching is dropping like rain, coming down like dew on the fields; like rain on the young grass and showers on the garden plants: For I will give honour to the name of the Lord: let our God be named great. He is the Rock, complete is his work; for all his ways are righteousness: a God without evil who keeps faith, true and upright is he."
Isaiah42,"Behold my servant, whom I uphold; mine elect, in whom my soul delighteth; I have put my spirit upon him: he shall bring forth judgment to the Gentiles. He shall not cry, nor lift up, nor cause his voice to be heard in the street.","See my servant, whom I am supporting, my loved one, in whom I take delight: I have put my spirit on him; he will give the knowledge of the true God to the nations. He will make no cry, his voice will not be loud: his words will not come to men's ears in the streets."
2Samuel1,"Now it came to pass after the death of Saul, when David was returned from the slaughter of the Amalekites, and David had abode two days in Ziklag; It came even to pass on the third day, that, behold, a man came out of the camp from Saul with his clothes rent, and earth upon his head: and so it was, when he came to David, that he fell to the earth, and did obeisance. And David said unto him, From whence comest thou?","Now after the death of Saul, when David, having come back from the destruction of the Amalekites, had been in Ziklag for two days; On the third day a man came from Saul's tents, with his clothing out of order and earth on his head: and when he came to David, he went down on the earth and gave him honour. And David said to him, Where have you come from?"
1Chronicles25,"Moreover David and the captains of the host separated to the service of the sons of Asaph, and of Heman, and of Jeduthun, who should prophesy with harps, with psalteries, and with cymbals: and the number of the workmen according to their service was: Of the sons of Asaph; Zaccur, and Joseph, and Nethaniah, and Asarelah, the sons of Asaph under the hands of Asaph, which prophesied according to the order of the king. Of Jeduthun: the sons of Jeduthun; Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, six, under the hands of their father Jeduthun, who prophesied with a harp, to give thanks and to praise the Lord.","Further, David and the chiefs of the servants of the holy place made selection of certain of the sons of Asaph and of Heman and of Jeduthun for the work of prophets, to make melody with corded instruments and brass; and the number of the men for the work they had to do was: Of the sons of Asaph: Zaccur and Joseph and Nethaniah and Asharelah, sons of Asaph; under the direction of Asaph, acting as a prophet under the orders of the king; Of Jeduthun: the six sons of Jeduthun, Gedaliah and Zeri and Jeshaiah, Hashabiah and Mattithiah; under the direction of their father Jeduthun who, acting as a prophet, with corded instruments gave praise and glory to the Lord. Of Heman, the sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti and Romamti-ezer, Joshbekashah, Mallothi, Hothir, Mahazioth; All these were sons of Heman, the king's seer in the words of God."
Phillipians2,"If there be therefore any consolation in Christ, if any comfort of love, if any fellowship of the Spirit, if any bowels and mercies, Fulfil ye my joy, that ye be likeminded, having the same love, being of one accord, of one mind. Let nothing be done through strife or vainglory; but in lowliness of mind let each esteem other better than themselves.","If then there is any comfort in Christ, any help given by love, any uniting of hearts in the Spirit, any loving mercies and pity, Make my joy complete by being of the same mind, having the same love, being in harmony and of one mind; Doing nothing through envy or through pride, but with low thoughts of self let everyone take others to be better than himself; Not looking everyone to his private good, but keeping in mind the things of others. Let this mind be in you which was in Christ Jesus, To whom, though himself in the form of God, it did not seem that to take for oneself was to be like God; But he made himself as nothing, taking the form of a servant, being made like men; And being seen in form as a man, he took the lowest place, and let himself be put to death, even the death of the cross."
Acts15,"And certain men which came down from Judaea taught the brethren, and said, Except ye be circumcised after the manner of Moses, ye cannot be saved. When therefore Paul and Barnabas had no small dissension and disputation with them, they determined that Paul and Barnabas, and certain other of them, should go up to Jerusalem unto the apostles and elders about this question.","Now certain men came down from Judaea, teaching the brothers and saying that without circumcision, after the rule of Moses, there is no salvation. And after Paul and Barnabas had had no little argument and discussion with them, the brothers made a decision to send Paul and Barnabas and certain others of them to the Apostles and the rulers of the church at Jerusalem about this question."
1Kings10,"And when the queen of Sheba heard of the fame of Solomon concerning the name of the Lord, she came to prove him with hard questions. And she came to Jerusalem with a very great train, with camels that bare spices, and very much gold, and precious stones: and when she was come to Solomon, she communed with him of all that was in her heart.","Now the queen of Sheba, hearing great things of Solomon, came to put his wisdom to the test with hard questions. And she came to Jerusalem with a very great train, with camels weighted down with spices, and stores of gold and jewels: and when she came to Solomon she had talk with him of everything in her mind."
Hosea12,"Ephraim feedeth on wind, and followeth after the east wind: he daily increaseth lies and desolation; and they do make a covenant with the Assyrians, and oil is carried into Egypt. The Lord hath also a controversy with Judah, and will punish Jacob according to his ways; according to his doings will he recompense him.","Ephraim's food is the wind, and he goes after the east wind: deceit and destruction are increasing day by day; they make an agreement with Assyria, and take oil into Egypt. The Lord has a cause against Judah, and will give punishment to Jacob for his ways; he will give him the reward of his acts."
Ephesians5,"Be ye therefore followers of God, as dear children; And walk in love, as Christ also hath loved us, and hath given himself for us an offering and a sacrifice to God for a sweetsmelling savour. But fornication, and all uncleanness, or covetousness, let it not be once named among you, as becometh saints; Neither filthiness, nor foolish talking, nor jesting, which are not convenient: but rather giving of thanks.","Let it then be your desire to be like God, as well-loved children; And be living in love, even as Christ had love for you, and gave himself up for us, an offering to God for a perfume of a sweet smell. But evil acts of the flesh and all unclean things, or desire for others' property, let it not even be named among you, as is right for saints; And let there be no low behaviour, or foolish talk, or words said in sport, which are not right, but in place of them the giving of praise."
Romans11,"I say then, Hath God cast away his people? God forbid.","So I say, Has God put his people on one side? Let there be no such thought."
1Chronicles22,"Then David said, This is the house of the Lord God, and this is the altar of the burnt offering for Israel. And David commanded to gather together the strangers that were in the land of Israel; and he set masons to hew wrought stones to build the house of God.","Then David said, This is the house of the Lord God, and this is the altar for Israel's burned offerings. And David gave orders to get together all the men from strange lands who were in the land of Israel; and he put stone-cutters to work, cutting stones for building the house of God."
2Corinthians12,It is not expedient for me doubtless to glory. I will come to visions and revelations of the Lord.,"As it is necessary for me to take glory to myself, though it is not a good thing, I will come to visions and revelations of the Lord. I have knowledge of a man in Christ, fourteen years back (if he was in the body, or out of the body, I am not able to say, but God only), who was taken up to the third heaven."
Ephesians6,"Children, obey your parents in the Lord: for this is right. Honour thy father and mother; which is the first commandment with promise; That it may be well with thee, and thou mayest live long on the earth.","Children, do what is ordered by your fathers and mothers in the Lord: for this is right. Give honour to your father and mother (which is the first rule having a reward), So that all may be well for you, and your life may be long on the earth."
1Kings4,"So king Solomon was king over all Israel. And these were the princes which he had; Azariah the son of Zadok the priest, Elihoreph and Ahiah, the sons of Shisha, scribes; Jehoshaphat the son of Ahilud, the recorder.","Now Solomon was king over all Israel. And these were his chief men: Azariah, the son of Zadok, was the priest; Elihoreph and Ahijah, the sons of Shisha, were scribes; Jehoshaphat, the son of Ahilud, was the recorder; Benaiah, the son of Jehoiada, was head of the army; Zadok and Abiathar were priests; Azariah, the son of Nathan, was over those in authority in the different divisions of the country; Zabud, the son of Nathan, was priest and the king's friend; Ahishar was controller of the king's house; Adoniram, the son of Abda, was overseer of the forced work."
Daniel7,"In the first year of Belshazzar king of Babylon Daniel had a dream and visions of his head upon his bed: then he wrote the dream, and told the sum of the matters. Daniel spake and said, I saw in my vision by night, and, behold, the four winds of the heaven strove upon the great sea.","In the first year of Belshazzar, king of Babylon, Daniel saw a dream, and visions came into his head on his bed: then he put the dream in writing. I had a vision by night, and saw the four winds of heaven violently moving the great sea."
Colossians3,"If ye then be risen with Christ, seek those things which are above, where Christ sitteth on the right hand of God. Set your affection on things above, not on things on the earth.","If then you have a new life with Christ, give your attention to the things of heaven, where Christ is seated at the right hand of God. Keep your mind on the higher things, not on the things of earth."
1Corinthians3,"And I, brethren, could not speak unto you as unto spiritual, but as unto carnal, even as unto babes in Christ. I have fed you with milk, and not with meat: for hitherto ye were not able to bear it, neither yet now are ye able.","And the teaching I gave you, my brothers, was such as I was able to give, not to those who have the Spirit, but to those who are still in the flesh, even to children in Christ. I gave you milk and not meat, because you were, then, unable to take it, and even now you are not able; Because you are still in the flesh: for when there is envy and division among you, are you not still walking after the way of the flesh, even as natural men?"
Ezekiel39,"Therefore, thou son of man, prophesy against Gog, and say, Thus saith the Lord God; Behold, I am against thee, O Gog, the chief prince of Meshech and Tubal: And I will turn thee back, and leave but the sixth part of thee, and will cause thee to come up from the north parts, and will bring thee upon the mountains of Israel: And I will smite thy bow out of thy left hand, and will cause thine arrows to fall out of thy right hand. Thou shalt fall upon the mountains of Israel, thou, and all thy bands, and the people that is with thee: I will give thee unto the ravenous birds of every sort, and to the beasts of the field to be devoured.","And you, son of man, be a prophet against Gog, and say, These are the words of the Lord: See, I am against you, O Gog, ruler of Rosh, Meshech, and Tubal: And turning you round, I will be your guide, and make you come up from the inmost parts of the north; I will make you come on to the mountains of Israel: And with a blow I will send your bow out of your left hand and your arrows falling from your right hand. On the mountains of Israel you will come down, you and all your forces and the peoples who are with you: I will give you to cruel birds of every sort and to the beasts of the field to be their food."
Jeremiah29,"Now these are the words of the letter that Jeremiah the prophet sent from Jerusalem unto the residue of the elders which were carried away captives, and to the priests, and to the prophets, and to all the people whom Nebuchadnezzar had carried away captive from Jerusalem to Babylon; (After that Jeconiah the king, and the queen, and the eunuchs, the princes of Judah and Jerusalem, and the carpenters, and the smiths, were departed from Jerusalem;) By the hand of Elasah the son of Shaphan, and Gemariah the son of Hilkiah, (whom Zedekiah king of Judah sent unto Babylon to Nebuchadnezzar king of Babylon) saying, Thus saith the Lord of hosts, the God of Israel, unto all that are carried away captives, whom I have caused to be carried away from Jerusalem unto Babylon; Build ye houses, and dwell in them; and plant gardens, and eat the fruit of them; Take ye wives, and beget sons and daughters; and take wives for your sons, and give your daughters to husbands, that they may bear sons and daughters; that ye may be increased there, and not diminished. And seek the peace of the city whither I have caused you to be carried away captives, and pray unto the Lord for it: for in the peace thereof shall ye have peace.","Now these are the words of the letter which Jeremiah the prophet sent from Jerusalem to the responsible men among those who had been taken away, and to the priests and the prophets and to all the rest of the people whom Nebuchadnezzar had taken away prisoners from Jerusalem to Babylon; (After Jeconiah the king and the queen-mother and the unsexed servants and the rulers of Judah and Jerusalem and the expert workmen and the metal-workers had gone away from Jerusalem;) By the hand of Elasah, the son of Shaphan, and Gemariah, the son of Hilkiah, (whom Zedekiah, king of Judah, sent to Babylon, to Nebuchadnezzar, king of Babylon,) saying, This is what the Lord of armies, the God of Israel, has said to all those whom I have taken away prisoners from Jerusalem to Babylon: Go on building houses and living in them, and planting gardens and using the fruit of them; Take wives and have sons and daughters, and take wives for your sons, and give your daughters to husbands, so that they may have sons and daughters; and be increased in number there and do not become less. And be working for the peace of the land to which I have had you taken away prisoners, and make prayer to the Lord for it: for in its peace you will have peace."
Hosea5,"Hear ye this, O priests; and hearken, ye house of Israel; and give ye ear, O house of the king; for judgment is toward you, because ye have been a snare on Mizpah, and a net spread upon Tabor. And the revolters are profound to make slaughter, though I have been a rebuker of them all.","Give ear to this, O priests; give attention, O Israel, and you, family of the king; for you are to be judged; you have been a deceit at Mizpah and a net stretched out on Tabor. They have gone deep in the evil ways of Shittim, but I am the judge of all."
Micah4,"But in the last days it shall come to pass, that the mountain of the house of the Lord shall be established in the top of the mountains, and it shall be exalted above the hills; and people shall flow unto it. And many nations shall come, and say, Come, and let us go up to the mountain of the Lord, and to the house of the God of Jacob; and he will teach us of his ways, and we will walk in his paths: for the law shall go forth of Zion, and the word of the Lord from Jerusalem.","But in the last days it will come about that the mountain of the Lord's house will be placed on the top of the mountains, and be lifted up over the hills; and peoples will be flowing to it. And a number of nations will go and say, Come, and let us go up to the mountain of the Lord, and to the house of the God of Jacob; and he will give us knowledge of his ways and we will be guided by his word: for from Zion the law will go out, and the word of the Lord from Jerusalem."
1Samuel19,"And Saul spake to Jonathan his son, and to all his servants, that they should kill David. But Jonathan Saul's son delighted much in David: and Jonathan told David, saying, Saul my father seeketh to kill thee: now therefore, I pray thee, take heed to thyself until the morning, and abide in a secret place, and hide thyself: And I will go out and stand beside my father in the field where thou art, and I will commune with my father of thee; and what I see, that I will tell thee.",And Saul gave orders to his son Jonathan and to all his servants to put David to death. But Saul's son Jonathan had great delight in David.
Nehemiah7,"Now it came to pass, when the wall was built, and I had set up the doors, and the porters and the singers and the Levites were appointed, That I gave my brother Hanani, and Hananiah the ruler of the palace, charge over Jerusalem: for he was a faithful man, and feared God above many. And I said unto them, Let not the gates of Jerusalem be opened until the sun be hot; and while they stand by, let them shut the doors, and bar them: and appoint watches of the inhabitants of Jerusalem, every one in his watch, and every one to be over against his house.","Now when the building of the wall was complete and I had put up the doors, and the door-keepers and the music-makers and the Levites had been given their places, I made my brother Hanani, and Hananiah, the ruler of the tower, responsible for the government of Jerusalem: for he was a man of good faith, fearing God more than most. And I said to them, Do not let the doors of Jerusalem be open till the sun is high; and while the watchmen are in their places, let the doors be shut and locked: and let the people of Jerusalem be put on watch, every one in his watch, opposite his house."
