chapter,KJV,BBE
1Chronicles28,"And David assembled all the princes of Israel, the princes of the tribes, and the captains of the companies that ministered to the king by course, and the captains over the thousands, and captains over the hundreds, and the stewards over all the substance and possession of the king, and of his sons, with the officers, and with the mighty men, and with all the valiant men, unto Jerusalem. Then David the king stood up upon his feet, and said, Hear me, my brethren, and my people: As for me, I had in mine heart to build an house of rest for the ark of the covenant of the Lord, and for the footstool of our God, and had made ready for the building: But God said unto me, Thou shalt not build an house for my name, because thou hast been a man of war, and hast shed blood.","And David got together at Jerusalem all the rulers of Israel, the chiefs of the tribes and the captains of the divisions waiting on the king in turn, and the captains of thousands and the captains of hundreds and the controllers of all the goods and property of the king and his sons, with the unsexed servants and the great men of war. Then David the king got up and said, Give ear to me, my brothers and my people; it was my desire to put up a house, a resting-place for the ark of the Lord's agreement, and for the foot-rest of our God; and I had got material ready for the building of it."
1Chronicles29,"Furthermore David the king said unto all the congregation, Solomon my son, whom alone God hath chosen, is yet young and tender, and the work is great: for the palace is not for man, but for the Lord God. Now I have prepared with all my might for the house of my God the gold for things to be made of gold, and the silver for things of silver, and the brass for things of brass, the iron for things of iron, and wood for things of wood; onyx stones, and stones to be set, glistering stones, and of divers colours, and all manner of precious stones, and marble stones in abundance.","And David the king said to all the people, Solomon my son, the only one who has been marked out by God, is still young and untested, and the work is great, for this great house is not for man, but for the Lord God. Now as far as I am able, I have made ready what is needed for the house of my God; the gold for the things of gold, and the silver for the silver things, and the brass for the brass things, iron for the things of iron, and wood for the things of wood; beryls and jewels to be framed, and stones of different colours for ornament; all sorts of stones of great price, and polished building-stone, as much as is needed and more."
1Chronicles3,"Now these were the sons of David, which were born unto him in Hebron; the firstborn Amnon, of Ahinoam the Jezreelitess; the second Daniel, of Abigail the Carmelitess: The third, Absalom the son of Maachah the daughter of Talmai king of Geshur: the fourth, Adonijah the son of Haggith: The fifth, Shephatiah of Abital: the sixth, Ithream by Eglah his wife. These six were born unto him in Hebron; and there he reigned seven years and six months: and in Jerusalem he reigned thirty and three years.","Now these were David's sons, whose birth took place in Hebron: the oldest Amnon, by Ahinoam of Jezreel; the second Daniel, by Abigail the Carmelite woman; The third Absalom, the son of Maacah, the daughter of Talmai, king of Geshur; the fourth Adonijah, the son of Haggith; The fifth Shephatiah, by Abital; the sixth Ithream, by Eglah his wife. He had six sons in Hebron; he was ruling there for seven years and six months, and in Jerusalem for thirty-three years."
1Chronicles4,"The sons of Judah; Pharez, Hezron, and Carmi, and Hur, and Shobal. And Reaiah the son of Shobal begat Jahath; and Jahath begat Ahumai, and Lahad.","The sons of Judah: Perez, Hezron and Carmi and Hur and Shobal. And Reaiah, the son of Shobal, was the father of Jahath; and Jahath was the father of Ahumai and Lahad."
1Chronicles5,"Now the sons of Reuben the firstborn of Israel, (for he was the firstborn; but forasmuch as he defiled his father's bed, his birthright was given unto the sons of Joseph the son of Israel: and the genealogy is not to be reckoned after the birthright. For Judah prevailed above his brethren, and of him came the chief ruler; but the birthright was Joseph's:) The sons, I say, of Reuben the firstborn of Israel were, Hanoch, and Pallu, Hezron, and Carmi.","And the sons of Reuben, the oldest son of Israel, (for he was the oldest son, but, because he made his father's bride-bed unclean, his birthright was given to the sons of Joseph, the son of Israel; but he is not to be given the place of the oldest. Though Judah became stronger than his brothers, and from him came the ruler, the birthright was Joseph's:) The sons of Reuben, the oldest son of Israel: Hanoch and Pallu, Hezron and Carmi."
1Chronicles6,"The sons of Levi; Gershon, Kohath, and Merari. And the sons of Kohath; Amram, Izhar, and Hebron, and Uzziel.","The sons of Levi: Gershon, Kohath, and Merari. And the sons of Kohath: Amram, Izhar, Hebron, and Uzziel."
1Chronicles7,"Now the sons of Issachar were, Tola, and Puah, Jashub, and Shimrom, four. And the sons of Tola; Uzzi, and Rephaiah, and Jeriel, and Jahmai, and Jibsam, and Shemuel, heads of their father's house, to wit, of Tola: they were valiant men of might in their generations; whose number was in the days of David two and twenty thousand and six hundred.","And of the sons of Issachar: Tola and Puah, Jashub and Shimron, four. And the sons of Tola: Uzzi and Rephaiah and Jeriel and Jahmai and Ibsam and Shemuel, heads of their families; they were men of war; in the record of their generations their number in the time of David was twenty-two thousand, six hundred."
1Chronicles8,"Now Benjamin begat Bela his firstborn, Ashbel the second, and Aharah the third, Nohah the fourth, and Rapha the fifth. And the sons of Bela were, Addar, and Gera, and Abihud, And Abishua, and Naaman, and Ahoah, And Gera, and Shephuphan, and Huram.","And Benjamin was the father of Bela his oldest son, Ashbel the second, and Aharah the third, Nohah the fourth, and Rapha the fifth. And Bela had sons, Addar and Gera, the father of Ehud, And Abishua and Naaman and Ahoah And Gera and Shephuphan and Huram."
1Chronicles9,"So all Israel were reckoned by genealogies; and, behold, they were written in the book of the kings of Israel and Judah, who were carried away to Babylon for their transgression. Now the first inhabitants that dwelt in their possessions in their cities were, the Israelites, the priests, Levites, and the Nethinims.","So all Israel was listed by their families; and, truly, they are recorded in the book of the kings of Israel. And Judah was taken away as prisoners to Babylon because of their sin."
1Corinthians1,"Paul called to be an apostle of Jesus Christ through the will of God, and Sosthenes our brother, Unto the church of God which is at Corinth, to them that are sanctified in Christ Jesus, called to be saints, with all that in every place call upon the name of Jesus Christ our Lord, both their's and our's: Grace be unto you, and peace, from God our Father, and from the Lord Jesus Christ. I thank my God always on your behalf, for the grace of God which is given you by Jesus Christ; That in every thing ye are enriched by him, in all utterance, and in all knowledge; Even as the testimony of Christ was confirmed in you: So that ye come behind in no gift; waiting for the coming of our Lord Jesus Christ: Who shall also confirm you unto the end, that ye may be blameless in the day of our Lord Jesus Christ.","Paul, an Apostle of Jesus Christ by the purpose of God, and Sosthenes the brother, To the church of God which is in Corinth, to those who have been made holy in Christ Jesus, saints by the selection of God, with all those who in every place give honour to the name of our Lord Jesus Christ, their Lord and ours: Grace to you and peace from God our Father and the Lord Jesus Christ. I give praise to my God for you at all times, because of the grace of God which has been given to you in Christ Jesus; So that in him you have wealth in all things, in word and in knowledge of every sort; Even as the witness of the Christ has been made certain among you: So that having every grace you are living in the hope of the revelation of our Lord Jesus Christ; Who will give you strength to the end, to be free from all sin in the day of our Lord Jesus Christ."
1Corinthians10,"Moreover, brethren, I would not that ye should be ignorant, how that all our fathers were under the cloud, and all passed through the sea; And were all baptized unto Moses in the cloud and in the sea; And did all eat the same spiritual meat; And did all drink the same spiritual drink: for they drank of that spiritual Rock that followed them: and that Rock was Christ. But with many of them God was not well pleased: for they were overthrown in the wilderness.","For it is my desire, my brothers, that you may keep in mind how all our fathers were under the cloud, and they all went through the sea; And they all had baptism from Moses in the cloud and in the sea; And they all took the same holy food; And the same holy drink: for they all took of the water from the holy rock which came after them: and the rock was Christ. But with most of them God was not pleased: for they came to their end in the waste land."
1Corinthians11,"Be ye followers of me, even as I also am of Christ. Now I praise you, brethren, that ye remember me in all things, and keep the ordinances, as I delivered them to you.","So take me for your example, even as I take Christ for mine. Now I am pleased to see that you keep me in memory in all things, and that you give attention to the teaching which was handed down from me to you."
1Corinthians12,"Now concerning spiritual gifts, brethren, I would not have you ignorant. Ye know that ye were Gentiles, carried away unto these dumb idols, even as ye were led.","But about the things of the spirit, my brothers, it is not right for you to be without teaching. You are conscious that when you were Gentiles, in whatever way you were guided, you went after images without voice or power."
1Corinthians13,"Though I speak with the tongues of men and of angels, and have not charity, I am become as sounding brass, or a tinkling cymbal. And though I have the gift of prophecy, and understand all mysteries, and all knowledge; and though I have all faith, so that I could remove mountains, and have not charity, I am nothing.","If I make use of the tongues of men and of angels, and have not love, I am like sounding brass, or a loud-tongued bell. And if I have a prophet's power, and have knowledge of all secret things; and if I have all faith, by which mountains may be moved from their place, but have not love, I am nothing."
1Corinthians14,"Follow after charity, and desire spiritual gifts, but rather that ye may prophesy. For he that speaketh in an unknown tongue speaketh not unto men, but unto God: for no man understandeth him; howbeit in the spirit he speaketh mysteries.","Go after love; still desiring to have the things which the Spirit gives, but most of all that you may have the prophet's power. For he who makes use of tongues is not talking to men but to God; because no one has the sense of what he is saying; but in the Spirit he is talking of secret things."
1Corinthians15,"Moreover, brethren, I declare unto you the gospel which I preached unto you, which also ye have received, and wherein ye stand; By which also ye are saved, if ye keep in memory what I preached unto you, unless ye have believed in vain. For I delivered unto you first of all that which I also received, how that Christ died for our sins according to the scriptures; And that he was buried, and that he rose again the third day according to the scriptures: And that he was seen of Cephas, then of the twelve: After that, he was seen of above five hundred brethren at once; of whom the greater part remain unto this present, but some are fallen asleep.","Now I am going to make clear to you, my brothers, what the good news was which I gave to you, and which you took, and on which your faith is based, By which you have salvation; that is to say, the form in which it was given to you, if it is fixed in your minds, and if your faith in it is not without effect. For I gave to you first of all what was handed down to me, how Christ underwent death for our sins, as it says in the Writings; And he was put in the place of the dead; and on the third day he came back from the dead, as it says in the Writings; And he was seen by Cephas; then by the twelve; Then by more than five hundred brothers at the same time, most of whom are still living, but some are sleeping; Then he was seen by James; then by all the Apostles."
1Corinthians16,"Now concerning the collection for the saints, as I have given order to the churches of Galatia, even so do ye. Upon the first day of the week let every one of you lay by him in store, as God hath prospered him, that there be no gatherings when I come.","Now about the giving of money for the saints, as I gave orders to the churches of Galatia, so do you. On the first day of the week, let every one of you put by him in store, in measure as he has done well in business, so that it may not be necessary to get money together when I come."
1Corinthians2,"And I, brethren, when I came to you, came not with excellency of speech or of wisdom, declaring unto you the testimony of God. For I determined not to know any thing among you, save Jesus Christ, and him crucified.","And when I came to you, my brothers, I did not come with wise words of knowledge, putting before you the secret of God. For I had made the decision to have knowledge of nothing among you but only of Jesus Christ on the cross."
1Corinthians3,"And I, brethren, could not speak unto you as unto spiritual, but as unto carnal, even as unto babes in Christ. I have fed you with milk, and not with meat: for hitherto ye were not able to bear it, neither yet now are ye able.","And the teaching I gave you, my brothers, was such as I was able to give, not to those who have the Spirit, but to those who are still in the flesh, even to children in Christ. I gave you milk and not meat, because you were, then, unable to take it, and even now you are not able; Because you are still in the flesh: for when there is envy and division among you, are you not still walking after the way of the flesh, even as natural men?"
1Corinthians4,"Let a man so account of us, as of the ministers of Christ, and stewards of the mysteries of God. Moreover it is required in stewards, that a man be found faithful.","Let us be judged as servants of Christ, and as those who are responsible for the secret things of God. And it is right for such servants to be safe persons."
1Corinthians5,"It is reported commonly that there is fornication among you, and such fornication as is not so much as named among the Gentiles, that one should have his father's wife. And ye are puffed up, and have not rather mourned, that he that hath done this deed might be taken away from among you.","It is said, in fact, that there is among you a sin of the flesh, such as is not seen even among the Gentiles, that one of you has his father's wife. And in place of feeling sorrow, you are pleased with yourselves, so that he who has done this thing has not been sent away from among you."
1Corinthians6,"Dare any of you, having a matter against another, go to law before the unjust, and not before the saints? Do ye not know that the saints shall judge the world?","How is it, that if any one of you has a cause at law against another, he takes it before a Gentile judge and not before the saints? Is it not certain that the saints will be the judges of the world?"
1Corinthians7,"Now concerning the things whereof ye wrote unto me: It is good for a man not to touch a woman. Nevertheless, to avoid fornication, let every man have his own wife, and let every woman have her own husband.","Now, as to the things in your letter to me: It is good for a man to have nothing to do with a woman. But because of the desires of the flesh, let every man have his wife, and every woman her husband."
1Corinthians8,"Now as touching things offered unto idols, we know that we all have knowledge. Knowledge puffeth up, but charity edifieth.","Now about things offered to images: we all seem to ourselves to have knowledge. Knowledge gives pride, but love gives true strength."
1Corinthians9,Am I am not an apostle? am I not free?,Am I not free? am I not an Apostle?
1John1,"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon, and our hands have handled, of the Word of life; (For the life was manifested, and we have seen it, and bear witness, and shew unto you that eternal life, which was with the Father, and was manifested unto us;) That which we have seen and heard declare we unto you, that ye also may have fellowship with us: and truly our fellowship is with the Father, and with his Son Jesus Christ. And these things write we unto you, that your joy may be full.","That which was from the first, which has come to our ears, and which we have seen with our eyes, looking on it and touching it with our hands, about the Word of life (And the life was made clear to us, and we have seen it and are witnessing to it and giving you word of that eternal life which was with the Father and was seen by us); We give you word of all we have seen and everything which has come to our ears, so that you may be united with us; and we are united with the Father and with his Son Jesus Christ: And we are writing these things to you so that our joy may be made complete. This is the word which came to us from him and which we give to you, that God is light and in him there is nothing dark."
1John2,"My little children, these things write I unto you, that ye sin not. And if any man sin, we have an advocate with the Father, Jesus Christ the righteous: And he is the propitiation for our sins: and not for ours only, but also for the sins of the whole world.","My little children, I am writing these things to you so that you may be without sin. And if any man is a sinner, we have a friend and helper with the Father, Jesus Christ, the upright one: He is the offering for our sins; and not for ours only, but for all the world."
1John3,"Behold, what manner of love the Father hath bestowed upon us, that we should be called the sons of God: therefore the world knoweth us not, because it knew him not. Beloved, now are we the sons of God, and it doth not yet appear what we shall be: but we know that, when he shall appear, we shall be like him; for we shall see him as he is.","See what great love the Father has given us in naming us the children of God; and such we are. For this reason the world does not see who we are, because it did not see who he was."
1John4,"Beloved, believe not every spirit, but try the spirits whether they are of God: because many false prophets are gone out into the world. Hereby know ye the Spirit of God: Every spirit that confesseth that Jesus Christ is come in the flesh is of God: And every spirit that confesseth not that Jesus Christ is come in the flesh is not of God: and this is that spirit of antichrist, whereof ye have heard that it should come; and even now already is it in the world.","My loved ones, do not put your faith in every spirit, but put them to the test, to see if they are from God: because a great number of false prophets have gone out into the world. By this you may have knowledge of the Spirit of God: every spirit which says that Jesus Christ has come in the flesh is of God: And every spirit which does not say this is not from God: this is the spirit of Antichrist, of which you have had word; and it is in the world even now."
1John5,"Whosoever believeth that Jesus is the Christ is born of God: and every one that loveth him that begat loveth him also that is begotten of him. By this we know that we love the children of God, when we love God, and keep his commandments.","Everyone who has faith that Jesus is the Christ is a child of God: and everyone who has love for the Father has love for his child. In this way, we are certain that we have love for the children of God, when we have love for God and keep his laws."
1Kings1,"Now king David was old and stricken in years; and they covered him with clothes, but he gat no heat. Wherefore his servants said unto him, Let there be sought for my lord the king a young virgin: and let her stand before the king, and let her cherish him, and let her lie in thy bosom, that my lord the king may get heat.","Now King David was old and far on in years; and though they put covers over him, his body was cold. So his servants said to him, Let search be made for a young virgin for my lord the king, to take care of him and be waiting on him; and you may take her in your arms, and so my lord the king will be warm."
1Kings10,"And when the queen of Sheba heard of the fame of Solomon concerning the name of the Lord, she came to prove him with hard questions. And she came to Jerusalem with a very great train, with camels that bare spices, and very much gold, and precious stones: and when she was come to Solomon, she communed with him of all that was in her heart.","Now the queen of Sheba, hearing great things of Solomon, came to put his wisdom to the test with hard questions. And she came to Jerusalem with a very great train, with camels weighted down with spices, and stores of gold and jewels: and when she came to Solomon she had talk with him of everything in her mind."
1Kings11,"But king Solomon loved many strange women, together with the daughter of Pharaoh, women of the Moabites, Ammonites, Edomites, Zidonians, and Hittites: Of the nations concerning which the Lord said unto the children of Israel, Ye shall not go in to them, neither shall they come in unto you: for surely they will turn away your heart after their gods: Solomon clave unto these in love. And he had seven hundred wives, princesses, and three hundred concubines: and his wives turned away his heart.","Now a number of strange women were loved by Solomon, women of the Moabites, Ammonites, Edomites, Zidonians, and Hittites: The nations of which the Lord had said to the children of Israel, You are not to take wives from them and they are not to take wives from you; or they will certainly make you go after their gods: to these Solomon was united in love. He had seven hundred wives, daughters of kings, and three hundred other wives; and through his wives his heart was turned away."
1Kings12,"And Rehoboam went to Shechem: for all Israel were come to Shechem to make him king. And it came to pass, when Jeroboam the son of Nebat, who was yet in Egypt, heard of it, (for he was fled from the presence of king Solomon, and Jeroboam dwelt in Egypt;) That they sent and called him.","And Rehoboam went to Shechem, where all Israel had come together to make him king, And, hearing of it, Jeroboam, the son of Nebat, who was still in Egypt, where he had gone in flight from Solomon, and was living there, came back to his town Zeredah, in the hill-country of Ephraim; And all the men of Israel came to Rehoboam and said, Your father put a hard yoke on us: if you will make the conditions under which your father kept us down less cruel, and the weight of the yoke he put on us less hard, then we will be your servants. And he said to them, Go away for three days and then come back to me again."
1Kings13,"And, behold, there came a man of God out of Judah by the word of the Lord unto Bethel: and Jeroboam stood by the altar to burn incense. And he cried against the altar in the word of the Lord, and said, O altar, altar, thus saith the Lord; Behold, a child shall be born unto the house of David, Josiah by name; and upon thee shall he offer the priests of the high places that burn incense upon thee, and men's bones shall be burnt upon thee.","Then a man of God came from Judah by the order of the Lord to Beth-el, where Jeroboam was by the altar, burning offerings. And by the order of the Lord he made an outcry against the altar, saying, O altar, altar, the Lord has said, From the seed of David will come a child, named Josiah, and on you he will put to death the priests of the high places, who are burning offerings on you, and men's bones will be burned on you."
1Kings14,"At that time Abijah the son of Jeroboam fell sick. And Jeroboam said to his wife, Arise, I pray thee, and disguise thyself, that thou be not known to be the wife of Jeroboam; and get thee to Shiloh: behold, there is Ahijah the prophet, which told me that I should be king over this people.","At that time Abijah, the son of Jeroboam, became ill. And Jeroboam said to his wife, Now come, put on different clothing so that you may not seem to be the wife of Jeroboam, and go to Shiloh; see, Ahijah is there, the prophet who said I would be king over this people. And take with you ten cakes of bread and dry cakes and a pot of honey, and go to him: he will give you word of what is to become of the child."
1Kings15,Now in the eighteenth year of king Jeroboam the son of Nebat reigned Abijam over Judah. Three years reigned he in Jerusalem.,"Now in the eighteenth year of king Jeroboam, the son of Nebat, Abijam became king over Judah. For three years he was king in Jerusalem: and his mother's name was Maacah, the daughter of Abishalom."
1Kings16,"Then the word of the Lord came to Jehu the son of Hanani against Baasha, saying, Forasmuch as I exalted thee out of the dust, and made thee prince over my people Israel; and thou hast walked in the way of Jeroboam, and hast made my people Israel to sin, to provoke me to anger with their sins; Behold, I will take away the posterity of Baasha, and the posterity of his house; and will make thy house like the house of Jeroboam the son of Nebat. Him that dieth of Baasha in the city shall the dogs eat; and him that dieth of his in the fields shall the fowls of the air eat.","And the word of the Lord came to Jehu, son of Hanani, protesting against Baasha and saying, Because I took you up out of the dust, and made you ruler over my people Israel; and you have gone in the ways of Jeroboam, and made my people Israel do evil, moving me to wrath by their sins; Truly, I will see that Baasha and all his family are completely brushed away; I will make your family like the family of Jeroboam, the son of Nebat. Anyone of the family of Baasha who comes to death in the town, will become food for the dogs; and he to whom death comes in the open country, will be food for the birds of the air."
1Kings17,"And Elijah the Tishbite, who was of the inhabitants of Gilead, said unto Ahab, As the Lord God of Israel liveth, before whom I stand, there shall not be dew nor rain these years, but according to my word. And the word of the Lord came unto him, saying, Get thee hence, and turn thee eastward, and hide thyself by the brook Cherith, that is before Jordan.","And Elijah the Tishbite, of Tishbe in Gilead, said to Ahab, By the living Lord, the God of Israel, whose servant I am, there will be no dew or rain in these years, but only at my word. Then the word of the Lord came to him, saying, Go from here in the direction of the east, and keep yourself in a secret place by the stream Cherith, east of Jordan."
1Kings18,"And it came to pass after many days, that the word of the Lord came to Elijah in the third year, saying, Go, shew thyself unto Ahab; and I will send rain upon the earth. And Elijah went to shew himself unto Ahab.","Now after a long time, the word of the Lord came to Elijah, in the third year, saying, Go and let Ahab see you, so that I may send rain on the earth. So Elijah went to let Ahab see him."
